seed,nonce,scenario,baseline,profit_policy_v6,profit_policy_v8,profit_policy_v9,profit_policy_v10,profit_policy_v11,q_policy_v6,q_policy_v8,q_policy_v9,q_policy_v10,q_policy_v11,best,gain_over_v11,n_tied,error
987654,11,CONGESTED,58657.47074832574,126674.31480738246,129613.47258742964,129613.47258742964,129613.47258742964,131574.63813367955,1.1595597830961466,1.209666917660604,1.209666917660604,1.209666917660604,1.2431011165988943,policy_v11,0.0,1,
123,98,DENSE,32591.48055002586,384039.68584277696,384039.68584277696,512147.62194890436,514448.8076618671,514448.8076618671,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,99,CAPSTONE,16728.614894909177,904829.6412574047,904829.6412574047,904829.6412574047,904829.6412574047,904829.6412574047,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,7,MULTIDAY,29096.135538144383,237955.20407612165,237955.20407612165,296098.1312783579,311787.6437039505,311787.6437039505,7.1782408442863295,7.1782408442863295,9.176544953229383,9.715775065231192,9.715775065231192,policy_v10,0.0,2,
987654,15,BASELINE,34830.360706967294,46103.17532010188,46072.53519011169,46072.53519011169,46072.53519011169,46346.071712085635,0.3236490918842531,0.32276939585563336,0.32276939585563336,0.32276939585563336,0.33062278917152216,policy_v11,0.0,1,
987654,16,CONGESTED,23186.278464472834,69441.18439827424,73370.86655959177,73370.86655959177,73370.86655959177,73848.95597414445,1.9949258352383086,2.1644089270233615,2.1644089270233615,2.1644089270233615,2.18502842468292,policy_v11,0.0,1,
987654,3,DENSE,34208.64965385317,198051.46469715622,198051.46469715622,306292.7997742032,311853.53673558694,311853.53673558694,4.7895142514068425,4.7895142514068425,7.953665311713044,8.11621884766049,8.11621884766049,policy_v10,0.0,2,
987654,4,CAPSTONE,49748.41596564203,933272.7790952028,933272.7790952028,933272.7790952028,933272.7790952028,933272.7790952028,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,12,MULTIDAY,19553.99661704022,222811.19431359385,222811.19431359385,298612.8620397474,313192.71064000303,313192.71064000303,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,20,BASELINE,28027.008076760507,39050.71953197814,38975.62050567051,38975.62050567051,38975.62050567051,38810.45120492259,0.3933245897896954,0.3906450663065156,0.3906450663065156,0.3906450663065156,0.3847518471555573,policy_v6,0.008572742634138097,1,
987654,21,CONGESTED,2980.999464512717,79897.18661763772,87020.56415174587,87020.56415174587,87020.56415174587,86725.73927756422,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,8,DENSE,7624.159325053755,397396.31397224264,397396.31397224264,521133.40488494595,530870.5272350506,530870.5272350506,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,17,MULTIDAY,36956.3826171968,311088.0667662507,311088.0667662507,384060.6813848225,394837.5389920262,394837.5389920262,7.417708788794585,7.417708788794585,9.392269323370314,9.683879509316847,9.683879509316847,policy_v10,0.0,2,
987654,25,BASELINE,48056.65881148651,62706.189244688794,63234.12662745626,63234.12662745626,63234.12662745626,63926.013985052734,0.30483872152584846,0.31582444953551797,0.31582444953551797,0.31582444953551797,0.33022177499870026,policy_v11,0.0,1,
987654,9,CAPSTONE,39952.635823362514,611763.7932750214,611763.7932750214,611763.7932750214,611763.7932750214,611763.7932750214,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,26,CONGESTED,46084.87020777623,125543.14073720115,126408.31104085522,126408.31104085522,126408.31104085522,127295.21557144266,1.7241726008874205,1.7429460139345796,1.7429460139345796,1.7429460139345796,1.7621910400476954,policy_v11,0.0,1,
987654,13,DENSE,31664.550046903038,527437.7727447404,527437.7727447404,752069.3042129307,755534.4773780702,755534.4773780702,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,22,MULTIDAY,18181.656946859803,208390.41772350876,208390.41772350876,274998.44033176894,288088.0767980809,288088.0767980809,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,30,BASELINE,4136.931874520799,38199.803675780044,37302.44222825857,37302.44222825857,37302.44222825857,38225.44509403028,8.233848858574945,8.016934131786387,8.016934131786387,8.016934131786387,8.240047031284039,policy_v11,0.0,1,
987654,14,CAPSTONE,19815.544622310877,683748.1231836984,683748.1231836984,683748.1231836984,683748.1231836984,683748.1231836984,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,31,CONGESTED,13701.154640721614,62238.79149694468,59611.45019815947,59611.45019815947,59611.45019815947,61834.440596838496,3.542594629829248,3.350834054353029,3.350834054353029,3.350834054353029,3.5130824528865188,policy_v6,0.02951217694272934,1,
